acronym,color_hex_triplet,graph_order,id,name,parent_structure_id,ontology_prefix
tSGsl,#A74677,22,DHBA:11600,SG in superolateral temporal cortex,DHBA:15498,DHBA
tSGps,#A74677,23,DHBA:13202,SG in polysensory temporal cortex,DHBA:15498,DHBA
tSGpi,#A74677,24,DHBA:13206,SG in parainsular temporal cortex,DHBA:15498,DHBA
tSGvl,#A74677,25,DHBA:15499,SG in ventrolateral temporal cortex,DHBA:11598,DHBA
tSGml,#A74677,26,DHBA:13203,SG in midlateral temporal cortex,DHBA:15499,DHBA
tSGil,#A74677,27,DHBA:11601,SG in inferolateral temporal cortex,DHBA:15499,DHBA
tSGmi,#A74677,28,DHBA:11602,SG in midinferior temporal cortex,DHBA:15499,DHBA
tSG36,#A74677,29,DHBA:13204,SG in rostral midinferior temporal cortex (area 36),DHBA:11602,DHBA
tSGtf,#A74677,30,DHBA:13205,SG in caudal midinferior temporal cortex (area TF),DHBA:11602,DHBA
tSGph,#A74677,31,DHBA:11603,SG in posterior parahippocampal cortex,DHBA:11598,DHBA
tSGmt,#A74677,32,DHBA:11604,SG in medial temporal-occipital cortex,DHBA:11598,DHBA
tSGlt,#A74677,33,DHBA:11605,SG in lateral temporal-occipital cortex,DHBA:11598,DHBA
tSGtp,#A74677,34,DHBA:11606,SG in temporal polar cortex,DHBA:11598,DHBA
oSG,#AE4125,35,DHBA:11588,SG in occipital neocortex,DHBA:11580,DHBA
oSGpro,#AE4125,36,DHBA:13201,SG in area prostriata,DHBA:11588,DHBA
oSGv1,#AE4125,37,DHBA:11589,SG in primary visual cortex,DHBA:11588,DHBA
oSGexs,#AE4125,38,DHBA:13200,SG in extrastriate cortex,DHBA:11588,DHBA
oSGdm,#AE4125,39,DHBA:11590,SG in dorsomedial extrastriate cortex (V2),DHBA:13200,DHBA
oSGvm,#AE4125,40,DHBA:11591,SG in ventromedial extrastriate cortex (VP),DHBA:13200,DHBA
oSGml,#AE4125,41,DHBA:11592,SG in midlateral extrastriate cortex (area 19),DHBA:13200,DHBA
iSG,#BA2E2E,42,DHBA:12971,SG in insular neocortex,DHBA:11580,DHBA
iSGdg,#BA2E2E,43,DHBA:12972,SG in dysgranular insular cortex,DHBA:12971,DHBA
iSGg,#BA2E2E,44,DHBA:12973,SG in granular insular cortex,DHBA:12971,DHBA
cSG,#AD405B,45,DHBA:12966,SG in cingulate neocortex,DHBA:11580,DHBA
cSGr,#AD405B,46,DHBA:12967,SG in rostral cingulate cortex,DHBA:12966,DHBA
cSGmi,#AD405B,47,DHBA:12968,SG in midcingulate cortex,DHBA:12966,DHBA
cSGc,#AD405B,48,DHBA:12969,SG in caudal cingulate cortex,DHBA:12966,DHBA
cSGsg,#AD405B,49,DHBA:12970,SG in subgenual (subcallosal) cingulate cortex,DHBA:12966,DHBA
peSG,#99775C,50,DHBA:12974,SG in periallocortex,DHBA:11580,DHBA
SGPC,#99775C,51,DHBA:13213,SG in perirhinal cortex,DHBA:12974,DHBA
SGpcr,#99775C,52,DHBA:12979,SG in rostral perirhinal cortex,DHBA:13213,DHBA
SGpcc,#99775C,53,DHBA:13214,SG in caudal perirhinal cortex,DHBA:13213,DHBA
SGpas,#99775C,54,DHBA:13273,SG in parasubicular cortex,DHBA:12974,DHBA
SGec,#99775C,55,DHBA:12975,SG in entorhinal cortex,DHBA:12974,DHBA
SGecl,#99775C,56,DHBA:13212,SG in lateral (anterior) entorhinal cortex,DHBA:12975,DHBA
SGEo,#99775C,57,DHBA:12976,SG in olfactory entorhinal cortex,DHBA:13212,DHBA
SGEr,#99775C,58,DHBA:12977,SG in rostral entorhinal cortex,DHBA:13212,DHBA
SGecm,#99775C,59,DHBA:13211,SG in medial (posterior) entorhinal cortex,DHBA:12975,DHBA
SGEc,#99775C,60,DHBA:12978,SG in caudal entorhinal cortex,DHBA:13211,DHBA
SGprs,#99775C,61,DHBA:13210,SG in presubicular cortex,DHBA:12974,DHBA
SGprsr,#99775C,62,DHBA:13274,SG in rostral presubicular cortex,DHBA:13210,DHBA
SGprsc,#99775C,63,DHBA:13275,SG in caudal presubicular cortex,DHBA:13210,DHBA
SGrs,#99775C,64,DHBA:12980,SG in retrosplenial cortex,DHBA:12974,DHBA
SGIag,#99775C,65,DHBA:13276,SG in agranular insular cortex,DHBA:12974,DHBA
alSG,#5D457F,66,DHBA:13207,SG in allocortex,DHBA:11580,DHBA
SGhip,#5D457F,67,DHBA:13208,SG in hippocampal proper,DHBA:13207,DHBA
SGsub,#5D457F,68,DHBA:13209,SG in subicular cortex,DHBA:13207,DHBA
SGpir,#5D457F,69,DHBA:13277,SG in piriform cortex,DHBA:13207,DHBA
SGiag,#5D457F,70,DHBA:146034614,SG in agranular insular cortex,DHBA:13207,DHBA
MZ,#DFCECE,71,DHBA:10508,marginal zone,DHBA:10506,DHBA
fMZ,#EEE0A8,72,DHBA:10509,MZ in frontal neocortex,DHBA:10508,DHBA
fMZfp,#EEE0A8,73,DHBA:11612,MZ in frontal polar cortex,DHBA:10509,DHBA
fMZdm,#EEE0A8,74,DHBA:11607,MZ in dorsomedial frontal cortex,DHBA:10509,DHBA
fMZdl,#EEE0A8,75,DHBA:11610,MZ in dorsolateral prefrontal cortex,DHBA:10509,DHBA
fMZvl,#EEE0A8,76,DHBA:11611,MZ in ventrolateral prefrontal cortex,DHBA:10509,DHBA
fMZor,#E2D4A7,77,DHBA:11608,MZ in orbital frontal cortex,DHBA:10509,DHBA
fMZm1,#FCE691,78,DHBA:11609,MZ in posteror frontal cortex (motor cortex),DHBA:10509,DHBA
pMZ,#F0DABE,79,DHBA:10511,MZ in parietal neocortex,DHBA:10508,DHBA
pMZs1,#EFCEB6,80,DHBA:11617,MZ in primary somatosensory cortex,DHBA:10511,DHBA
pMZdm,#F0DABE,81,DHBA:11620,MZ in dorsomedial parietal cortex,DHBA:10511,DHBA
pMZpd,#F0DABE,82,DHBA:11618,MZ in posterodorsal (superior) parietal cortex,DHBA:10511,DHBA
pMZpv,#F0DABE,83,DHBA:11619,MZ in posteroventral (inferior) parietal cortex,DHBA:10511,DHBA
tMZ,#F0D5E1,84,DHBA:10512,MZ in temporal neocortex,DHBA:10508,DHBA
tMZdl,#F0D5E1,85,DHBA:15500,MZ in dorsolateral temporal cortex,DHBA:10512,DHBA
tMZa1,#F0D5E1,86,DHBA:11621,MZ in primary auditory cortex,DHBA:15500,DHBA
tMZsl,#F0D5E1,87,DHBA:11622,MZ in superolateral temporal cortex,DHBA:15500,DHBA
tMZps,#F0D5E1,88,DHBA:13082,MZ in polysensory temporal cortex,DHBA:15500,DHBA
tMZpi,#F0D5E1,89,DHBA:13086,MZ in parainsular temporal cortex,DHBA:15500,DHBA
tMZvl,#F0D5E1,90,DHBA:15501,MZ in ventrolateral temporal cortex,DHBA:10512,DHBA
tMZml,#F0D5E1,91,DHBA:13083,MZ in midlateral temporal cortex,DHBA:15501,DHBA
tMZil,#F0D5E1,92,DHBA:11623,MZ in inferolateral temporal cortex,DHBA:15501,DHBA
tMZmi,#F0D5E1,93,DHBA:11624,MZ in midinferior temporal cortex,DHBA:15501,DHBA
tMZ36,#F0D5E1,94,DHBA:13084,MZ in rostral midinferior temporal cortex (area 36),DHBA:11624,DHBA
tMZtf,#F0D5E1,95,DHBA:13085,MZ in caudal midinferior temporal cortex (area TF),DHBA:11624,DHBA
tMZph,#F0D5E1,96,DHBA:11625,MZ in posterior parahippocampal cortex,DHBA:10512,DHBA
tMZmt,#F0D5E1,97,DHBA:11626,MZ in medial temporal-occipital cortex,DHBA:10512,DHBA
tMZlt,#F0D5E1,98,DHBA:11627,MZ in lateral temporal-occipital cortex,DHBA:10512,DHBA
tMZtp,#F0D5E1,99,DHBA:11628,MZ in temporal polar cortex,DHBA:10512,DHBA
oMZ,#EABFB0,100,DHBA:10510,MZ in occipital neocortex,DHBA:10508,DHBA
oMZpro,#EABFB0,101,DHBA:13081,MZ in area prostriata,DHBA:10510,DHBA
oMZv1,#EABFB0,102,DHBA:11613,MZ in primary visual cortex,DHBA:10510,DHBA
oMZexs,#EABFB0,103,DHBA:13080,MZ in extrastriate cortex,DHBA:10510,DHBA
oMZdm,#EABFB0,104,DHBA:11614,MZ in dorsomedial extrastriate cortex (V2),DHBA:13080,DHBA
oMZvm,#EABFB0,105,DHBA:11615,MZ in ventromedial extrastriate cortex (VP),DHBA:13080,DHBA
oMZml,#EABFB0,106,DHBA:11616,MZ in midlateral extrastriate cortex (area 19),DHBA:13080,DHBA
iMZ,#EDC9C0,107,DHBA:11634,MZ in insular neocortex,DHBA:10508,DHBA
iMZdg,#EDC9C0,108,DHBA:11635,MZ in dysgranular insular cortex,DHBA:11634,DHBA
iMZgr,#EDC9C0,109,DHBA:11636,MZ in granular insular cortex,DHBA:11634,DHBA
cMZ,#EFD1D4,110,DHBA:11629,MZ in cingulate neocortex,DHBA:10508,DHBA
cMZr,#EFD1D4,111,DHBA:11630,MZ in rostral cingulate cortex,DHBA:11629,DHBA
cMZmi,#EFD1D4,112,DHBA:11631,MZ in midcingulate cortex,DHBA:11629,DHBA
cMZc,#EFD1D4,113,DHBA:11632,MZ in caudal cingulate cortex,DHBA:11629,DHBA
cMZsg,#EFD1D4,114,DHBA:11633,MZ in subgenual (subcallosal) cingulate cortex,DHBA:11629,DHBA
peMZ,#DCD0C6,115,DHBA:10514,MZ in periallocortex,DHBA:10508,DHBA
MZpc,#DCD0C6,116,DHBA:11645,MZ in perirhinal cortex,DHBA:10514,DHBA
MZpcr,#DCD0C6,117,DHBA:11646,MZ in rostral perirhinal cortex,DHBA:11645,DHBA
MZpcc,#DCD0C6,118,DHBA:11647,MZ in caudal perirhinal cortex,DHBA:11645,DHBA
MZpas,#DCD0C6,119,DHBA:13278,MZ in parasubicular cortex,DHBA:10514,DHBA
MZEC,#DCD0C6,120,DHBA:11641,MZ in entorhinal cortex,DHBA:10514,DHBA
MZlec,#DCD0C6,121,DHBA:13094,MZ in lateral (anterior) entorhinal cortex,DHBA:11641,DHBA
MZeo,#DCD0C6,122,DHBA:11642,MZ in olfactory entorhinal cortex,DHBA:13094,DHBA
Mzer,#DCD0C6,123,DHBA:11643,MZ in rostral entorhinal cortex,DHBA:13094,DHBA
MZmec,#DCD0C6,124,DHBA:13093,MZ in medial (posterior) entorhinal cortex,DHBA:11641,DHBA
MZec,#DCD0C6,125,DHBA:11644,MZ in caudal entorhinal cortex,DHBA:13093,DHBA
MZprs,#DCD0C6,126,DHBA:11640,MZ in presubicular cortex,DHBA:10514,DHBA
MZprsr,#DCD0C6,127,DHBA:13091,MZ in rostral presubicular cortex,DHBA:11640,DHBA
MZprsc,#DCD0C6,128,DHBA:13092,MZ in caudal presubicular cortex (postsubiculum),DHBA:11640,DHBA
MZrs,#DCD0C6,129,DHBA:11648,MZ in retrosplenial cortex,DHBA:10514,DHBA
MZIag,#DCD0C6,130,DHBA:13279,MZ in agranular insular cortex,DHBA:10514,DHBA
alMZ,#D1CEE2,131,DHBA:10513,MZ in allocortex,DHBA:10508,DHBA
MZhip,#D1CEE2,132,DHBA:11637,MZ in hippocampal proper,DHBA:10513,DHBA
MZhipr,#D1CEE2,133,DHBA:13087,MZ in rostral hippocampal proper,DHBA:11637,DHBA
MZhipc,#D1CEE2,134,DHBA:13088,MZ in caudal hippocampal proper,DHBA:11637,DHBA
MZsub,#D1CEE2,135,DHBA:11638,MZ in subicular cortex,DHBA:10513,DHBA
MZsubr,#D1CEE2,136,DHBA:13089,MZ in rostral subicular cortex,DHBA:11638,DHBA
MZsubc,#D1CEE2,137,DHBA:13090,MZ in caudal subicular cortex,DHBA:11638,DHBA
MZpir,#D1CEE2,138,DHBA:11639,MZ in piriform cortex,DHBA:10513,DHBA
MZiag,#D1CEE2,139,DHBA:146034618,MZ in agranular insular cortex,DHBA:10513,DHBA
CP,#81696B,140,DHBA:10515,cortical plate,DHBA:10506,DHBA
fCP,#806D2C,141,DHBA:10516,CP in frontal neocortex,DHBA:10515,DHBA
fCPfp,#806D2C,142,DHBA:11664,CP in frontal polar cortex,DHBA:10516,DHBA
fCPfpo,#806D2C,143,DHBA:11665,outer CP in frontal polar cortex,DHBA:11664,DHBA
fCPfpi,#806D2C,144,DHBA:11666,inner CP in frontal polar cortex,DHBA:11664,DHBA
fCPdm,#806D2C,145,DHBA:11649,CP in dorsomedial frontal cortex,DHBA:10516,DHBA
fCPdmo,#806D2C,146,DHBA:11650,outer CP in dorsomedial frontal cortex,DHBA:11649,DHBA
fCPdmi,#8D762D,147,DHBA:11651,inner CP in dorsomedial frontal cortex,DHBA:11649,DHBA
fCPdl,#806D2C,148,DHBA:11658,CP in dorsolateral prefrontal cortex,DHBA:10516,DHBA
fCPdlo,#806D2C,149,DHBA:11659,outer CP in dorsolateral prefrontal cortex,DHBA:11658,DHBA
fCPdli,#8D762D,150,DHBA:11660,inner CP in dorsolateral prefrontal cortex,DHBA:11658,DHBA
fCPvl,#806D2C,151,DHBA:11661,CP in ventrolateral prefrontal cortex,DHBA:10516,DHBA
fCPvlo,#806D2C,152,DHBA:11662,outer CP in ventrolateral prefrontal cortex,DHBA:11661,DHBA
fCPvli,#8D762D,153,DHBA:11663,inner CP in ventrolateral prefrontal cortex,DHBA:11661,DHBA
fCPor,#8E712C,154,DHBA:11652,CP in orbital frontal cortex,DHBA:10516,DHBA
fCPoro,#8E712C,155,DHBA:11653,outer CP in orbital frontal cortex,DHBA:11652,DHBA
fCPori,#967A2F,156,DHBA:11654,inner CP in orbital frontal cortex,DHBA:11652,DHBA
fCPm1,#7B7248,157,DHBA:11655,CP in posterior frontal cortex (motor cortex),DHBA:10516,DHBA
fCPm1o,#7B7248,158,DHBA:11656,outer CP in posteror frontal cortex (motor cortex),DHBA:11655,DHBA
fCPm1i,#8A8047,159,DHBA:11657,inner CP in posteror frontal cortex (motor cortex),DHBA:11655,DHBA
pCP,#AE7B2C,160,DHBA:10518,CP in parietal neocortex,DHBA:10515,DHBA
pCPs1,#B45D27,161,DHBA:11679,CP in primary somatosensory cortex,DHBA:10518,DHBA
pCPs1o,#B45D27,162,DHBA:11680,outer CP in primary somatosensory cortex,DHBA:11679,DHBA
pCPs1i,#C16328,163,DHBA:11681,inner CP in primary somatosensory cortex,DHBA:11679,DHBA
pCPdm,#AE7B2C,164,DHBA:11688,CP in dorsomedial parietal cortex (area 7m),DHBA:10518,DHBA
pCPdmo,#AE7B2C,165,DHBA:11689,outer CP in dorsomedial parietal cortex (area 7m),DHBA:11688,DHBA
pCPdmi,#B8802D,166,DHBA:11690,inner CP in dorsomedial parietal cortex (area 7m),DHBA:11688,DHBA
pCPpd,#AE7B2C,167,DHBA:11682,CP in posterosuperior (dorsal) parietal cortex,DHBA:10518,DHBA
pCPpdo,#AE7B2C,168,DHBA:11683,outer CP in posterosuperior (dorsal) parietal cortex,DHBA:11682,DHBA
pCPpdi,#B8802D,169,DHBA:11684,inner CP in posterosuperior (dorsal) parietal cortex,DHBA:11682,DHBA
pCPpv,#AE7B2C,170,DHBA:11685,CP in posteroinferior (ventral) parietal cortex,DHBA:10518,DHBA
pCPpvo,#AE7B2C,171,DHBA:11686,outer CP in posteroinferior (ventral) parietal cortex,DHBA:11685,DHBA
pCPpvi,#B8802D,172,DHBA:11687,inner CP in posteroinferior (ventral) parietal cortex,DHBA:11685,DHBA
tCP,#A74677,173,DHBA:10519,CP in temporal neocortex,DHBA:10515,DHBA
tCPdl,#A74677,174,DHBA:15502,CP in dorsolateral temporal cortex,DHBA:10519,DHBA
tCPa1,#A74677,175,DHBA:11691,CP in primary auditory cortex,DHBA:15502,DHBA
tCPa1o,#A74677,176,DHBA:11692,outer CP in primary auditory cortex,DHBA:11691,DHBA
tCPa1i,#B04A7E,177,DHBA:11693,inner CP in primary auditory cortex,DHBA:11691,DHBA
tCPsl,#A74677,178,DHBA:11694,CP in superolateral temporal cortex,DHBA:15502,DHBA
tCPslo,#A74677,179,DHBA:11695,outer CP in superolateral temporal cortex,DHBA:11694,DHBA
tCPsli,#B04A7E,180,DHBA:11696,inner CP in superolateral temporal cortex,DHBA:11694,DHBA
tCPps,#A74677,181,DHBA:13097,CP in polysensory temporal cortex,DHBA:15502,DHBA
tCPpi,#A74677,182,DHBA:13105,CP in parainsualr temporal cortex,DHBA:15502,DHBA
tCPvl,#A74677,183,DHBA:15503,CP in ventrolateral temporal cortex,DHBA:10519,DHBA
tCPml,#A74677,184,DHBA:13098,CP in midlateral temporal cortex,DHBA:15503,DHBA
tCPil,#A74677,185,DHBA:11697,CP in inferolateral temporal cortex,DHBA:15503,DHBA
tCPilo,#A74677,186,DHBA:11698,outer CP in inferolateral temporal cortex,DHBA:11697,DHBA
tCPili,#B04A7E,187,DHBA:11699,inner CP in inferolateral temporal cortex,DHBA:11697,DHBA
tCPmi,#A74677,188,DHBA:11700,CP in midinferior temporal cortex,DHBA:15503,DHBA
tCPmio,#A74677,189,DHBA:11701,outer CP in midinferior temporal cortex,DHBA:11700,DHBA
tCPmii,#B04A7E,190,DHBA:11702,inner CP in midinferior temporal cortex,DHBA:11700,DHBA
tCP36,#A74677,191,DHBA:13099,CP in rostral midinferior temporal cortex (area 36),DHBA:11700,DHBA
tCP36o,#A74677,192,DHBA:13100,outer CP in (rostral) midinferior temporal cortex (area 36),DHBA:13099,DHBA
tCP36i,#B04A7E,193,DHBA:13101,inner CP in (rostral) midinferior temporal cortex (area 36),DHBA:13099,DHBA
tCPtf,#A74677,194,DHBA:13102,CP in caudal midinferior temporal cortex (area TF),DHBA:11700,DHBA
tCPtfo,#A74677,195,DHBA:13103,outer CP in caudal midinferior temporal cortex (area TF),DHBA:13102,DHBA
tCPtfi,#B04A7E,196,DHBA:13104,inner CP in caudal midinferior temporal cortex (area TF),DHBA:13102,DHBA
tCPph,#A74677,197,DHBA:11703,CP in posterior parahippocampal cortex,DHBA:10519,DHBA
tCPpho,#A74677,198,DHBA:11704,outer CP in posterior parahippocampal cortex,DHBA:11703,DHBA
tCPphi,#B04A7E,199,DHBA:11705,inner CP in posterior parahippocampal cortex,DHBA:11703,DHBA
tCPmt,#A74677,200,DHBA:11706,CP in medial temporal-occipital cortex,DHBA:10519,DHBA
tCPmto,#A74677,201,DHBA:11707,outer CP in medial temporal-occipital cortex,DHBA:11706,DHBA
tCPmti,#B04A7E,202,DHBA:11708,inner CP in medial temporal-occipital cortex,DHBA:11706,DHBA
tCPlt,#A74677,203,DHBA:11709,CP in lateral temporal-occipital cortex,DHBA:10519,DHBA
tCPlto,#A74677,204,DHBA:11710,outer CP in lateral temporal-occipital cortex,DHBA:11709,DHBA
tCPlti,#B04A7E,205,DHBA:11711,inner CP in lateral temporal-occipital cortex,DHBA:11709,DHBA
tCPtp,#A74677,206,DHBA:11712,CP in temporal polar cortex,DHBA:10519,DHBA
tCPtpo,#A74677,207,DHBA:11713,outer CP in temporal polar cortex,DHBA:11712,DHBA
tCPtpi,#B04A7E,208,DHBA:11714,inner CP in temporal polar cortex,DHBA:11712,DHBA
oCP,#AE4125,209,DHBA:10517,CP in occipital neocortex,DHBA:10515,DHBA
oCPpro,#B34429,210,DHBA:13096,CP in area prostriata,DHBA:10517,DHBA
oCPv1,#AE4125,211,DHBA:11667,CP in primary visual cortex,DHBA:10517,DHBA
oCPv1o,#AE4125,212,DHBA:11668,outer CP in primary visual cortex,DHBA:11667,DHBA
oCPv1i,#AD3F25,213,DHBA:11669,inner CP in primary visual cortex,DHBA:11667,DHBA
oCPexs,#B34429,214,DHBA:13095,CP in extrastriate cortex,DHBA:10517,DHBA
oCPdm,#AE4125,215,DHBA:11670,CP in dorsomedial extrastriate cortex (V2),DHBA:13095,DHBA
oCPdmo,#AE4125,216,DHBA:11671,outer CP in dorsomedial extrastriate cortex,DHBA:11670,DHBA
oCPdmi,#AD3F25,217,DHBA:11672,inner CP in dorsomedial extrastriate cortex,DHBA:11670,DHBA
oCPvm,#AE4125,218,DHBA:11673,CP in ventromedial extrastriate cortex (VP),DHBA:13095,DHBA
oCPvmo,#AE4125,219,DHBA:11674,outer CP in ventromedial extrastriate cortex,DHBA:11673,DHBA
oCPvmi,#AD3F25,220,DHBA:11675,inner CP in ventromedial extrastriate cortex,DHBA:11673,DHBA
oCPml,#AE4125,221,DHBA:11676,CP in midlateral extrastriate cortex (area 19),DHBA:13095,DHBA
oCPmlo,#AE4125,222,DHBA:11677,outer CP in midlateral extrastriate cortex,DHBA:11676,DHBA
oCPmli,#AD3F25,223,DHBA:11678,inner CP in midlateral extrastriate cortex,DHBA:11676,DHBA
iCP,#BA2E2E,224,DHBA:11728,CP in insular neocortex,DHBA:10515,DHBA
iCPdg,#BA2E2E,225,DHBA:11729,CP in dysgranular insular cortex,DHBA:11728,DHBA
iCPdgo,#BA2E2E,226,DHBA:11730,outer CP in dysgranular insular cortex,DHBA:11729,DHBA
iCPdgi,#C13331,227,DHBA:11731,inner CP in dysgranular insular cortex,DHBA:11729,DHBA
iCPgr,#BA2E2E,228,DHBA:11732,CP in granualr insular cortex,DHBA:11728,DHBA
iCPgro,#BA2E2E,229,DHBA:11733,outer CP in granular insular cortex,DHBA:11732,DHBA
iCPgri,#C13331,230,DHBA:11734,inner CP in granular insular cortex,DHBA:11732,DHBA
cCP,#AD405B,231,DHBA:11715,CP in cingulate neocortex,DHBA:10515,DHBA
cCPr,#AD405B,232,DHBA:11716,CP in rostral cingulate cortex,DHBA:11715,DHBA
cCPro,#AD405B,233,DHBA:11717,outer CP in rostral cingulate cortex,DHBA:11716,DHBA
cCPri,#BA4260,234,DHBA:11718,inner CP in rostral cingulate cortex,DHBA:11716,DHBA
cCPmi,#AD405B,235,DHBA:11719,CP in midcingulate cortex,DHBA:11715,DHBA
cCPmio,#AD405B,236,DHBA:11720,outer CP in midcingulate cortex,DHBA:11719,DHBA
cCPmii,#BA4260,237,DHBA:11721,inner CP in midcingulate cortex,DHBA:11719,DHBA
cCPc,#AD405B,238,DHBA:11722,CP in caudal cingulate cortex,DHBA:11715,DHBA
cCPco,#AD405B,239,DHBA:11723,outer CP in caudal cingulate cortex,DHBA:11722,DHBA
cCPci,#BA4260,240,DHBA:11724,inner CP in caudal cingulate cortex,DHBA:11722,DHBA
cCPsg,#AD405B,241,DHBA:11725,CP in subgenual (subcallosal) cingulate cortex,DHBA:11715,DHBA
cCPsgo,#AD405B,242,DHBA:11726,outer CP in subgenual (subcallosal) cingulate cortex,DHBA:11725,DHBA
cCPsgi,#BA4260,243,DHBA:11727,inner CP in subgenual (subcallosal) cingulate cortex,DHBA:11725,DHBA
peCP,#99775C,244,DHBA:10521,CP in periallocortex,DHBA:10515,DHBA
CPpc,#99775C,245,DHBA:11746,CP in perirhinal cortex,DHBA:10521,DHBA
CPpcr,#99775C,246,DHBA:11747,CP in rostral perirhinal cortex,DHBA:11746,DHBA
CPpcro,#99775C,247,DHBA:11748,outer CP in rostral perirhinal cortex,DHBA:11747,DHBA
CPpcri,#9F7B60,248,DHBA:11749,inner CP in rostral perirhinal cortex,DHBA:11747,DHBA
CPpcc,#99775C,249,DHBA:11750,CP in caudal perirhinal cortex,DHBA:11746,DHBA
CPpcco,#99775C,250,DHBA:11751,outer CP in caudal perirhinal cortex,DHBA:11750,DHBA
CPpcci,#9F7B60,251,DHBA:11752,inner CP in caudal perirhinal cortex,DHBA:11750,DHBA
CPpas,#99775C,252,DHBA:13280,CP in parasubicular cortex,DHBA:10521,DHBA
CPEC,#99775C,253,DHBA:11742,CP in entorhinal cortex,DHBA:10521,DHBA
CPlec,#99775C,254,DHBA:13109,CP in lateral (anterior) entorhinal cortex,DHBA:11742,DHBA
CPeo,#99775C,255,DHBA:11743,CP in olfactory entorhinal cortex,DHBA:13109,DHBA
CPer,#99775C,256,DHBA:11744,CP in rostral entorhinal cortex,DHBA:13109,DHBA
CPmec,#99775C,257,DHBA:13108,CP in medial (posterior) entorhinal cortex,DHBA:11742,DHBA
CPec,#99775C,258,DHBA:11745,CP in caudal entorhinal cortex,DHBA:13108,DHBA
CPprs,#99775C,259,DHBA:11741,CP in presubicular cortex,DHBA:10521,DHBA
CPprsr,#99775C,260,DHBA:13106,CP in rostral presubicular cortex,DHBA:11741,DHBA
CPprsc,#99775C,261,DHBA:13107,CP in caudal presubicular cortex (postsubiculum),DHBA:11741,DHBA
CPrs,#99775C,262,DHBA:11753,CP in retrosplenial cortex,DHBA:10521,DHBA
CPrso,#99775C,263,DHBA:11754,outer CP in retrosplenial cortex,DHBA:11753,DHBA
CPrsi,#9F7B60,264,DHBA:11755,inner CP in retrosplenial cortex,DHBA:11753,DHBA
CPIag,#99775C,265,DHBA:13281,CP in agranular insular cortex,DHBA:10521,DHBA
CPIago,#99775C,266,DHBA:13282,outer CP in agranular insular cortex,DHBA:13281,DHBA
CPIagi,#99775C,267,DHBA:13283,inner CP in agranular insular cortex,DHBA:13281,DHBA
alCP,#5D457F,268,DHBA:10520,CP in allocortex,DHBA:10515,DHBA
CPhip,#5D457F,269,DHBA:11735,CP in hippocampal proper,DHBA:10520,DHBA
CPhipr,#5D457F,270,DHBA:11736,CP in rostral hippocampus,DHBA:11735,DHBA
CPhipc,#5D457F,271,DHBA:11737,CP in caudal hippocampus,DHBA:11735,DHBA
CPsub,#5D457F,272,DHBA:11738,CP in subicular cortex,DHBA:10520,DHBA
CPsubr,#5D457F,273,DHBA:11739,CP in rostral subicular cortex,DHBA:11738,DHBA
CPsubc,#5D457F,274,DHBA:11740,CP in caudal subicular cortex,DHBA:11738,DHBA
CPpir,#5D457F,275,DHBA:13284,CP in piriform cortex,DHBA:10520,DHBA
CPiag,#5D457F,276,DHBA:146034622,CP in agranular insular cortex,DHBA:10520,DHBA
